2424-0.5.TXT HR0.49Kmin ML-18.75% TtaDa ExpDat_02406_Ti HR0.98Kmin ML-18.46% TtaDa ExpDat_02368_Ti HR10.56Kmin ML-19.13% TtaDa ExpDat_02431_Ti HR22.43Kmin ML-19.1% TtaDa
187.4937 18579.532 0.0998 2.298e-05 210.9972 8465.949 0.1481 6.447e-05 239.854 1266.1379 0.1433 0.0006687 248.7794  777.4122  1.574e-01  1.448e-03
189.283 18799.011 0.1049 2.339e-05 212.7424 8571.854 0.1548 6.056e-05 242.2342 1279.1721 0.1517 0.0006243 251.1255  783.3991  1.662e-01  1.473e-03
191.0696 19018.491 0.1102 2.539e-05 214.4753 8677.76 0.161 5.631e-05 244.6452 1292.2062 0.1598 0.0006346 253.4672  789.3860  1.751e-01  1.513e-03
192.8538 19237.971 0.1159 2.652e-05 216.2179 8783.665 0.1668 5.526e-05 247.0478 1305.2404 0.1681 0.0006355 255.8263  795.3730  1.841e-01  1.486e-03
194.6486 19457.45 0.1218 2.724e-05 217.967 8889.571 0.173 6.321e-05 249.445 1318.2746 0.1763 0.0006228 258.1661  801.3599  1.927e-01  1.363e-03
196.4407 19676.93 0.1279 2.803e-05 219.704 8995.476 0.1806 8.124e-05 251.8298 1331.3087 0.1847 0.0006776 260.5329  807.3468  2.008e-01  1.391e-03
198.2462 19896.41 0.1341 2.85e-05 221.4629 9101.382 0.1897 8.867e-05 254.2117 1344.3429 0.194 0.0007438 262.8993  813.3338  2.096e-01  1.538e-03
200.0437 20115.889 0.1404 2.916e-05 223.2024 9207.287 0.1991 8.705e-05 256.6274 1357.3771 0.2041 0.0008089 265.2533  819.3207  2.190e-01  1.580e-03
201.8354 20335.369 0.1469 2.942e-05 224.9468 9313.193 0.2077 7.297e-05 259.0168 1370.4113 0.2149 0.0008351 267.6119  825.3076  2.284e-01  1.565e-03
203.6251 20554.849 0.1533 2.929e-05 226.6906 9419.098 0.2146 6.11e-05 261.3917 1383.4454 0.2255 0.0007724 269.9286  831.2946  2.377e-01  1.549e-03
205.4187 20774.328 0.1599 3.163e-05 228.4292 9525.004 0.2212 6.449e-05 263.7842 1396.4796 0.235 0.0006997 272.2771  837.2815  2.471e-01  1.616e-03
207.2273 20993.808 0.1673 3.524e-05 230.1809 9630.909 0.2285 7.257e-05 266.1702 1409.5138 0.244 0.0006852 274.6575  843.2684  2.573e-01  1.795e-03
209.0165 21213.288 0.1752 3.65e-05 231.9154 9736.815 0.2364 7.343e-05 268.5532 1422.5479 0.2532 0.0007396 277.0130  849.2554  2.685e-01  1.933e-03
210.8094 21432.767 0.1832 3.665e-05 233.6709 9842.721 0.2437 6.486e-05 270.9468 1435.5821 0.2634 0.000814 279.3796  855.2423  2.800e-01  1.848e-03
212.6006 21652.247 0.1912 3.607e-05 235.4064 9948.626 0.2503 6.224e-05 273.326 1448.6163 0.2741 0.000835 281.7385  861.2292  2.907e-01  1.776e-03
214.3875 21871.727 0.1991 3.602e-05 237.1418 10054.532 0.2572 6.906e-05 275.7029 1461.6505 0.285 0.0008369 284.0965  867.2162  3.016e-01  1.865e-03
216.1806 22091.206 0.207 3.642e-05 238.8702 10160.437 0.2651 8.011e-05 278.0656 1474.6846 0.296 0.0008522 286.4553  873.2031  3.130e-01  1.936e-03
217.973 22310.686 0.2151 3.729e-05 240.6381 10266.343 0.274 8.767e-05 280.4441 1487.7188 0.3072 0.000863 288.8089  879.1900  3.246e-01  1.949e-03
219.774 22530.166 0.2234 3.849e-05 242.3813 10372.248 0.2836 9.304e-05 282.819 1500.753 0.3186 0.0008891 291.1665  885.1770  3.365e-01  2.023e-03
221.5587 22749.645 0.232 3.924e-05 244.1165 10478.154 0.2937 9.886e-05 285.2058 1513.7871 0.3307 0.00097 293.5064  891.1639  3.486e-01  1.980e-03
223.3538 22969.125 0.2407 4.059e-05 245.8377 10584.059 0.3044 0.0001004 287.5597 1526.8213 0.3437 0.001009 295.8608  897.1508  3.599e-01  1.779e-03
225.1364 23188.605 0.2498 4.218e-05 247.5945 10689.965 0.3148 9.671e-05 289.937 1539.8555 0.3565 0.0009497 298.2251  903.1378  3.702e-01  1.718e-03
226.9426 23408.084 0.2591 4.229e-05 249.3407 10795.87 0.3248 9.141e-05 292.2988 1552.8896 0.3684 0.0008844 300.5613  909.1247  3.811e-01  1.959e-03
228.724 23627.564 0.2683 4.126e-05 251.0854 10901.776 0.3343 8.768e-05 294.6529 1565.9238 0.3797 0.0008534 302.9138  915.1116  3.934e-01  2.114e-03
230.5094 23847.044 0.2772 4.026e-05 252.8263 11007.681 0.3435 8.63e-05 297.003 1578.958 0.3909 0.0008681 305.2443  921.0986  4.062e-01  2.157e-03
232.2947 24066.523 0.286 3.986e-05 254.5745 11113.587 0.3525 8.528e-05 299.3657 1591.9922 0.4024 0.0008961 307.5971  927.0855  4.189e-01  2.052e-03
234.085 24286.003 0.2948 4.098e-05 256.3142 11219.492 0.3616 8.53e-05 301.7351 1605.0263 0.4146 0.000992 309.9191  933.0724  4.307e-01  1.897e-03
235.8808 24505.483 0.3041 4.36e-05 258.048 11325.398 0.3707 8.689e-05 304.0802 1618.0605 0.4284 0.001132 312.2769  939.0594  4.420e-01  1.930e-03
237.6672 24724.962 0.314 4.584e-05 259.8008 11431.303 0.38 9.049e-05 306.4309 1631.0947 0.4436 0.001169 314.6171  945.0463  4.541e-01  2.106e-03
239.4519 24944.442 0.3241 4.65e-05 261.5374 11537.209 0.3899 9.543e-05 308.7786 1644.1288 0.4584 0.001092 316.9535  951.0332  4.671e-01  2.220e-03
241.2419 25163.921 0.3344 4.733e-05 263.2825 11643.114 0.4002 9.985e-05 311.129 1657.163 0.4722 0.001027 319.2631  957.0201  4.801e-01  2.111e-03
243.0406 25383.401 0.3449 4.803e-05 265.0254 11749.02 0.4109 0.0001017 313.4607 1670.1972 0.4856 0.001049 321.6028  963.0071  4.925e-01  2.047e-03
244.8254 25602.881 0.3554 4.717e-05 266.7765 11854.926 0.4217 0.0001003 315.7951 1683.2314 0.4993 0.001039 323.9375  968.9940  5.047e-01  2.021e-03
246.6164 25822.36 0.3656 4.622e-05 268.5028 11960.831 0.4321 9.642e-05 318.1557 1696.2655 0.5127 0.001021 326.2564  974.9809  5.168e-01  2.016e-03
248.4079 26041.84 0.3757 4.622e-05 270.2521 12066.737 0.4421 9.413e-05 320.4766 1709.2997 0.5258 0.000988 328.5535  980.9679  5.290e-01  2.053e-03
250.2052 26261.32 0.3861 4.839e-05 271.9817 12172.642 0.4521 9.41e-05 322.8104 1722.3339 0.5384 0.0009483 330.9044  986.9548  5.412e-01  2.047e-03
251.9819 26480.799 0.3969 5.026e-05 273.7262 12278.548 0.4622 9.798e-05 325.1411 1735.368 0.5507 0.0009417 333.2128  992.9417  5.538e-01  2.129e-03
253.7765 26700.279 0.4081 5.177e-05 275.4716 12384.453 0.473 0.0001052 327.4723 1748.4022 0.5629 0.0009255 335.5079  998.9287  5.662e-01  2.026e-03
255.5767 26919.759 0.4196 5.282e-05 277.1968 12490.359 0.4843 0.0001081 329.7856 1761.4364 0.575 0.0009586 337.8312 1004.9156  5.780e-01  1.906e-03
257.3718 27139.238 0.4312 5.243e-05 278.9449 12596.264 0.4956 0.0001043 332.1153 1774.4706 0.5884 0.001075 340.1139 1010.9025  5.893e-01  1.882e-03
259.1709 27358.718 0.4425 5.101e-05 280.6917 12702.17 0.5064 1e-04 334.4282 1787.5047 0.6022 0.001036 342.4151 1016.8895  6.005e-01  1.855e-03
260.9695 27578.198 0.4536 5.016e-05 282.4225 12808.075 0.517 0.0001005 336.7538 1800.5389 0.6151 0.0009507 344.7233 1022.8764  6.116e-01  1.873e-03
262.7608 27797.677 0.4646 5.029e-05 284.1595 12913.981 0.5277 0.0001026 339.0674 1813.5731 0.6275 0.0009465 347.0210 1028.8633  6.231e-01  1.960e-03
264.5574 28017.157 0.4757 5.029e-05 285.9043 13019.886 0.5386 0.0001015 341.3772 1826.6072 0.6396 0.0009043 349.3085 1034.8503  6.346e-01  1.854e-03
266.3756 28236.637 0.4867 5.073e-05 287.6377 13125.792 0.5492 9.997e-05 343.6709 1839.6414 0.6511 0.0008756 351.5787 1040.8372  6.452e-01  1.728e-03
268.1722 28456.116 0.4979 5.093e-05 289.3747 13231.697 0.5598 0.0001002 345.9761 1852.6756 0.6625 0.0008698 353.8796 1046.8241  6.557e-01  1.772e-03
269.9227 28675.596 0.5091 5.066e-05 291.0979 13337.603 0.5704 0.0001002 348.2822 1865.7097 0.6737 0.0008434 356.1608 1052.8111  6.664e-01  1.784e-03
271.756 28895.076 0.5202 5.13e-05 292.8392 13443.508 0.581 9.933e-05 350.5787 1878.7439 0.6847 0.0008458 358.4321 1058.7980  6.771e-01  1.815e-03
273.5236 29114.555 0.5316 5.222e-05 294.5634 13549.414 0.5915 9.808e-05 352.8779 1891.7781 0.6957 0.0008453 360.7115 1064.7849  6.881e-01  1.827e-03
275.3131 29334.035 0.5431 5.288e-05 296.3168 13655.32 0.6018 9.841e-05 355.1823 1904.8123 0.7065 0.000806 362.9885 1070.7719  6.984e-01  1.583e-03
277.0913 29553.515 0.5547 5.224e-05 298.0484 13761.225 0.6124 0.0001003 357.4591 1917.8464 0.7167 0.0007529 365.2512 1076.7588  7.071e-01  1.360e-03
