1.Temperature[°C] 1.Time[s] 1.Conversion[-] 1.Conversion_rate[1/s] 2.Temperature[°C] 2.Time[s] 2.Conversion[-] 2.Conversion_rate[1/s] 3.Temperature[°C] 3.Time[s] 3.Conversion[-] 3.Conversion_rate[1/s] 4.Temperature[°C] 4.Time[s] 4.Conversion[-] 4.Conversion_rate[1/s]
94.36738 1813.097 0.009474 7.979e-05 100.56288 833.5929 0.005363 0.0001209 100.23928 518.6683 0.004403 0.0002755 95.94278 329.8022 0.002954 -0.0001204
94.68462 1822.887 0.01014 4.057e-05 100.99042 837.5647 0.005768 0.0001317 100.62392 520.3417 0.005045 0.0002237 96.36797 330.8102 0.003367 0.0007501
95.02518 1832.677 0.01057 6.362e-05 101.40784 841.5366 0.006554 0.0002404 101.01998 522.0151 0.005094 -1.94e-05 96.78589 331.8182 0.003608 -0.0001312
95.3596 1842.467 0.01143 0.0001531 101.81121 845.5084 0.007197 0.0003122 101.41219 523.6884 0.005078 0.0001262 97.20203 332.8263 0.003882 0.0007447
95.70643 1852.257 0.01337 0.0001711 102.24179 849.4803 0.008462 0.0002083 101.80288 525.3618 0.005671 0.0003498 97.60487 333.8343 0.004274 -0.0001144
96.03269 1862.047 0.01418 2.551e-05 102.65514 853.4522 0.008959 0.0002684 102.20561 527.0352 0.005955 0.0003447 98.03038 334.8424 0.004549 0.0007541
96.35447 1871.837 0.01471 0.0001021 103.06982 857.424 0.009917 0.0002059 102.59173 528.7085 0.006586 0.0001497 98.46117 335.8504 0.00461 -0.001294
96.69841 1881.627 0.01622 0.0002251 103.50445 861.3959 0.01073 0.0002593 102.98641 530.3819 0.006571 2.694e-06 98.88542 336.8584 0.003992 0.0006006
97.01948 1891.417 0.0182 0.0001465 103.90296 865.3678 0.01185 0.0002493 103.38804 532.0553 0.006846 0.0003914 99.31792 337.8665 0.00426 -5.429e-05
97.34844 1901.207 0.01908 8.555e-05 104.30278 869.3396 0.01266 0.0002028 103.7634 533.7286 0.007581 0.0003679 99.73935 338.8745 0.004309 0.0003868
97.69093 1910.997 0.02012 0.0001148 104.73661 873.3115 0.01375 0.0002891 104.16442 535.402 0.008171 0.000417 100.14864 339.8826 0.004922 -0.000133
98.02259 1920.787 0.02108 0.0001158 105.14412 877.2833 0.01497 0.0002946 104.55566 537.0754 0.008481 0.0001005 100.57868 340.8906 0.004315 -0.0005974
98.32748 1930.577 0.0225 0.0001465 105.54926 881.2552 0.01627 0.0004396 104.94389 538.7487 0.009004 0.0004649 101.0145 341.8986 0.004441 0.0005922
98.67645 1940.367 0.02359 0.0001042 105.95512 885.2271 0.01823 0.0004177 105.35301 540.4221 0.009491 0.000224 101.43172 342.9067 0.004931 -0.0001109
99.01008 1950.157 0.02469 0.0001158 106.36891 889.1989 0.01966 0.0003525 105.74216 542.0955 0.01006 0.0005351 101.85236 343.9147 0.005041 0.0008505
99.33884 1959.947 0.02581 0.0001305 106.77773 893.1708 0.02113 0.0003904 106.14492 543.7688 0.0107 0.0002408 102.28125 344.9227 0.006217 -0.0001093
